entity,entity code,date,series,generation_TWh
Argentina,ARG,01/01/2020,Other Fossil,0.19
Argentina,ARG,01/01/2020,Solar,0.11
Argentina,ARG,01/01/2020,Wind,0.68
Argentina,ARG,01/01/2020,Total Generation,12.43
Argentina,ARG,01/02/2020,Bioenergy,0.03
Argentina,ARG,01/02/2020,Coal,0.11
Argentina,ARG,01/02/2020,Gas,6.69
Argentina,ARG,01/02/2020,Hydro,2.65
Argentina,ARG,01/02/2020,Nuclear,0.8
Argentina,ARG,01/02/2020,Other Fossil,0.18
Argentina,ARG,01/02/2020,Solar,0.08
Argentina,ARG,01/02/2020,Wind,0.65
Argentina,ARG,01/02/2020,Total Generation,11.19
Argentina,ARG,01/03/2020,Bioenergy,0.04
Argentina,ARG,01/03/2020,Coal,0.18
Argentina,ARG,01/03/2020,Gas,7.29
Argentina,ARG,01/03/2020,Hydro,2.31
Argentina,ARG,01/03/2020,Nuclear,0.93
Argentina,ARG,01/03/2020,Other Fossil,0.19
Argentina,ARG,01/03/2020,Solar,0.1
Argentina,ARG,01/03/2020,Wind,0.66
Argentina,ARG,01/03/2020,Total Generation,11.7
Argentina,ARG,01/04/2020,Bioenergy,0.04
Argentina,ARG,01/04/2020,Coal,0.0
Argentina,ARG,01/04/2020,Gas,5.46
Argentina,ARG,01/04/2020,Hydro,1.77
Argentina,ARG,01/04/2020,Nuclear,0.98
Argentina,ARG,01/04/2020,Other Fossil,0.05
Argentina,ARG,01/04/2020,Solar,0.08
Argentina,ARG,01/04/2020,Wind,0.61
Argentina,ARG,01/04/2020,Total Generation,8.99
Argentina,ARG,01/05/2020,Bioenergy,0.05
Argentina,ARG,01/05/2020,Coal,0.02
Argentina,ARG,01/05/2020,Gas,5.97
Argentina,ARG,01/05/2020,Hydro,2.17
Argentina,ARG,01/05/2020,Nuclear,1.01
Argentina,ARG,01/05/2020,Other Fossil,0.05
Argentina,ARG,01/05/2020,Solar,0.07
Argentina,ARG,01/05/2020,Wind,0.73
Argentina,ARG,01/05/2020,Total Generation,10.07
Argentina,ARG,01/06/2020,Bioenergy,0.07
Argentina,ARG,01/06/2020,Coal,0.09
Argentina,ARG,01/06/2020,Gas,6.34
Argentina,ARG,01/06/2020,Hydro,2.75
Argentina,ARG,01/06/2020,Nuclear,0.93
Argentina,ARG,01/06/2020,Other Fossil,0.15
Argentina,ARG,01/06/2020,Solar,0.06
Argentina,ARG,01/06/2020,Wind,0.73
Argentina,ARG,01/06/2020,Total Generation,11.12
Argentina,ARG,01/07/2020,Bioenergy,0.07
Argentina,ARG,01/07/2020,Coal,0.42
Argentina,ARG,01/07/2020,Gas,6.22
Argentina,ARG,01/07/2020,Hydro,3.61
Argentina,ARG,01/07/2020,Nuclear,0.74
Argentina,ARG,01/07/2020,Other Fossil,0.33
Argentina,ARG,01/07/2020,Solar,0.07
Argentina,ARG,01/07/2020,Wind,0.76
Argentina,ARG,01/07/2020,Total Generation,12.22
Argentina,ARG,01/08/2020,Bioenergy,0.08
Argentina,ARG,01/08/2020,Coal,0.3
Argentina,ARG,01/08/2020,Gas,5.9
