Area,ISO 3 code,Date,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,1.94,-0.5,-20.49
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,1.52,0.16,11.76
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Renewables,TWh,3.52,0.75,27.08
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Wind and Solar,TWh,2,0.59,41.84
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Bioenergy,TWh,0.01,-0.01,-50
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Coal,TWh,13.07,-0.02,-0.15
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Gas,TWh,1.94,-0.5,-20.49
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Hydro,TWh,1.51,0.17,12.69
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Other Fossil,TWh,0,0,
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Solar,TWh,0.63,0.13,26
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Wind,TWh,1.37,0.46,50.55
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Total,Total Generation,TWh,18.53,0.23,1.26
Australia,AUS,01/05/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity imports,Electricity imports,Net Imports,TWh,0,0,
Australia,AUS,01/06/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity demand,Demand,Demand,TWh,19.26,0.43,2.28
Australia,AUS,01/06/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Clean,TWh,3.67,1.21,49.19
Australia,AUS,01/06/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Fossil,TWh,15.59,-0.78,-4.76
Australia,AUS,01/06/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,2.24,-0.41,-15.47
Australia,AUS,01/06/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,1.96,0.53,37.06
