entity,entity code,date,series,generation_TWh
Australia,AUS,2019-04-01,Gas,1.68
Australia,AUS,2019-04-01,Hydro,0.92
Australia,AUS,2019-04-01,Other Fossil,0.0
Australia,AUS,2019-04-01,Solar,1.2
Australia,AUS,2019-04-01,Wind,1.41
Australia,AUS,2019-04-01,Total Generation,17.17
Australia,AUS,2019-04-01,Net Imports,0.0
Australia,AUS,2019-05-01,Demand,18.56
Australia,AUS,2019-05-01,Clean,3.95
Australia,AUS,2019-05-01,Fossil,14.61
Australia,AUS,2019-05-01,Gas and Other Fossil,2.06
Australia,AUS,2019-05-01,"Hydro, Bioenergy and Other Renewables",1.29
Australia,AUS,2019-05-01,Renewables,3.95
Australia,AUS,2019-05-01,Wind and Solar,2.66
Australia,AUS,2019-05-01,Bioenergy,0.01
Australia,AUS,2019-05-01,Coal,12.55
Australia,AUS,2019-05-01,Gas,2.06
Australia,AUS,2019-05-01,Hydro,1.28
Australia,AUS,2019-05-01,Other Fossil,0.0
Australia,AUS,2019-05-01,Solar,1.01
Australia,AUS,2019-05-01,Wind,1.65
Australia,AUS,2019-05-01,Total Generation,18.56
Australia,AUS,2019-05-01,Net Imports,0.0
Australia,AUS,2019-06-01,Demand,19.03
Australia,AUS,2019-06-01,Clean,4.04
Australia,AUS,2019-06-01,Fossil,14.99
Australia,AUS,2019-06-01,Gas and Other Fossil,2.23
Australia,AUS,2019-06-01,"Hydro, Bioenergy and Other Renewables",1.67
Australia,AUS,2019-06-01,Renewables,4.04
Australia,AUS,2019-06-01,Wind and Solar,2.37
Australia,AUS,2019-06-01,Bioenergy,0.03
Australia,AUS,2019-06-01,Coal,12.76
Australia,AUS,2019-06-01,Gas,2.22
Australia,AUS,2019-06-01,Hydro,1.64
Australia,AUS,2019-06-01,Other Fossil,0.01
Australia,AUS,2019-06-01,Solar,0.88
Australia,AUS,2019-06-01,Wind,1.49
Australia,AUS,2019-06-01,Total Generation,19.03
Australia,AUS,2019-06-01,Net Imports,0.0
Australia,AUS,2019-07-01,Demand,19.66
Australia,AUS,2019-07-01,Clean,4.54
Australia,AUS,2019-07-01,Fossil,15.12
Australia,AUS,2019-07-01,Gas and Other Fossil,2.26
Australia,AUS,2019-07-01,"Hydro, Bioenergy and Other Renewables",1.59
Australia,AUS,2019-07-01,Renewables,4.54
Australia,AUS,2019-07-01,Wind and Solar,2.95
Australia,AUS,2019-07-01,Bioenergy,0.04
Australia,AUS,2019-07-01,Coal,12.86
Australia,AUS,2019-07-01,Gas,2.26
Australia,AUS,2019-07-01,Hydro,1.55
Australia,AUS,2019-07-01,Other Fossil,0.0
Australia,AUS,2019-07-01,Solar,1.08
Australia,AUS,2019-07-01,Wind,1.87
Australia,AUS,2019-07-01,Total Generation,19.66
Australia,AUS,2019-07-01,Net Imports,0.0
Australia,AUS,2019-08-01,Demand,19.59
Australia,AUS,2019-08-01,Clean,4.79
Australia,AUS,2019-08-01,Fossil,14.8
Australia,AUS,2019-08-01,Gas and Other Fossil,2.52
Australia,AUS,2019-08-01,"Hydro, Bioenergy and Other Renewables",1.51
Australia,AUS,2019-08-01,Renewables,4.79
Australia,AUS,2019-08-01,Wind and Solar,3.28
Australia,AUS,2019-08-01,Bioenergy,0.05
Australia,AUS,2019-08-01,Coal,12.28
Australia,AUS,2019-08-01,Gas,2.52
Australia,AUS,2019-08-01,Hydro,1.46
Australia,AUS,2019-08-01,Other Fossil,0.0
Australia,AUS,2019-08-01,Solar,1.39
Australia,AUS,2019-08-01,Wind,1.89
Australia,AUS,2019-08-01,Total Generation,19.59
Australia,AUS,2019-08-01,Net Imports,0.0
Australia,AUS,2019-09-01,Demand,17.66
Australia,AUS,2019-09-01,Clean,4.47
Australia,AUS,2019-09-01,Fossil,13.19
Australia,AUS,2019-09-01,Gas and Other Fossil,2.31
Australia,AUS,2019-09-01,"Hydro, Bioenergy and Other Renewables",1.25
Australia,AUS,2019-09-01,Renewables,4.47
Australia,AUS,2019-09-01,Wind and Solar,3.22
Australia,AUS,2019-09-01,Bioenergy,0.04
Australia,AUS,2019-09-01,Coal,10.88
Australia,AUS,2019-09-01,Gas,2.31
Australia,AUS,2019-09-01,Hydro,1.21
Australia,AUS,2019-09-01,Other Fossil,0.0
Australia,AUS,2019-09-01,Solar,1.61
Australia,AUS,2019-09-01,Wind,1.61
Australia,AUS,2019-09-01,Total Generation,17.66
Australia,AUS,2019-09-01,Net Imports,0.0
Australia,AUS,2019-10-01,Demand,17.95
Australia,AUS,2019-10-01,Clean,4.45
Australia,AUS,2019-10-01,Fossil,13.5
Australia,AUS,2019-10-01,Gas and Other Fossil,2.32
Australia,AUS,2019-10-01,"Hydro, Bioenergy and Other Renewables",1.0
Australia,AUS,2019-10-01,Renewables,4.45
Australia,AUS,2019-10-01,Wind and Solar,3.45
Australia,AUS,2019-10-01,Bioenergy,0.03
Australia,AUS,2019-10-01,Coal,11.18
Australia,AUS,2019-10-01,Gas,2.32
Australia,AUS,2019-10-01,Hydro,0.97
Australia,AUS,2019-10-01,Other Fossil,0.0
Australia,AUS,2019-10-01,Solar,1.86
Australia,AUS,2019-10-01,Wind,1.59
Australia,AUS,2019-10-01,Total Generation,17.95
Australia,AUS,2019-10-01,Net Imports,0.0
Australia,AUS,2019-11-01,Demand,17.99
Australia,AUS,2019-11-01,Clean,4.91
Australia,AUS,2019-11-01,Fossil,13.08
Australia,AUS,2019-11-01,Gas and Other Fossil,1.69
Australia,AUS,2019-11-01,"Hydro, Bioenergy and Other Renewables",1.03
Australia,AUS,2019-11-01,Renewables,4.91
Australia,AUS,2019-11-01,Wind and Solar,3.88
Australia,AUS,2019-11-01,Bioenergy,0.03
Australia,AUS,2019-11-01,Coal,11.39
Australia,AUS,2019-11-01,Gas,1.69
Australia,AUS,2019-11-01,Hydro,1.0
Australia,AUS,2019-11-01,Other Fossil,0.0
Australia,AUS,2019-11-01,Solar,2.07
