entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita,generation_ytd_twh,generation_ytd_share_pct,generation_ytd_kwh_per_capita
"Viet Nam","VNM",false,"2019-11","Solar",false,0,0,0,,,,,3.23,1.47,33.24
"Viet Nam","VNM",false,"2019-11","Total generation",true,22.81,100,234.73,,,,,219.95,100,2263.47
"Viet Nam","VNM",false,"2019-11","Wind",false,0.67,2.94,6.89,,,,,1.45,0.66,14.92
"Viet Nam","VNM",false,"2019-12","Coal",false,9.9,47.08,101.88,,,,,118.49,49.17,1219.36
"Viet Nam","VNM",false,"2019-12","Gas",false,3.64,17.31,37.46,,,,,44.13,18.31,454.13
"Viet Nam","VNM",false,"2019-12","Hydro",false,6.99,33.24,71.93,,,,,72.01,29.88,741.04
"Viet Nam","VNM",false,"2019-12","Other fossil",false,0.13,0.62,1.34,,,,,1.3,0.54,13.38
"Viet Nam","VNM",false,"2019-12","Solar",false,0.37,1.76,3.81,,,,,3.6,1.49,37.05
"Viet Nam","VNM",false,"2019-12","Total generation",true,21.03,100,216.42,,,,,240.98,100,2479.89
"Viet Nam","VNM",false,"2019-12","Wind",false,0,0,0,,,,,1.45,0.6,14.92
"Viet Nam","VNM",false,"2020-01","Coal",false,11.05,60.71,112.66,1.42,14.75,6.82,14.48,11.05,60.71,112.66
"Viet Nam","VNM",false,"2020-01","Gas",false,3.57,19.62,36.4,-0.55,-13.35,-3.44,-5.61,3.57,19.62,36.4
"Viet Nam","VNM",false,"2020-01","Hydro",false,2.08,11.43,21.21,-1.31,-38.64,-7.54,-13.36,2.08,11.43,21.21
"Viet Nam","VNM",false,"2020-01","Other fossil",false,0.55,3.02,5.61,0.55,,3.02,5.61,0.55,3.02,5.61
"Viet Nam","VNM",false,"2020-01","Solar",false,0.74,4.07,7.54,0.74,,4.07,7.54,0.74,4.07,7.54
"Viet Nam","VNM",false,"2020-01","Total generation",true,18.2,100,185.56,0.33,1.85,0,3.36,18.2,100,185.56
"Viet Nam","VNM",false,"2020-01","Wind",false,0.21,1.15,2.14,-0.52,-71.23,-2.94,-5.3,0.21,1.15,2.14
"Viet Nam","VNM",false,"2020-02","Coal",false,10.23,56.46,104.3,0.33,3.33,4.05,3.36,21.28,58.59,216.97
"Viet Nam","VNM",false,"2020-02","Gas",false,3.01,16.61,30.69,-0.63,-17.31,-2.66,-6.42,6.58,18.12,67.09
"Viet Nam","VNM",false,"2020-02","Hydro",false,3.9,21.52,39.76,-1.43,-26.83,-6.7,-14.58,5.98,16.46,60.97
"Viet Nam","VNM",false,"2020-02","Other fossil",false,0.08,0.44,0.82,0.06,300,0.33,0.61,0.63,1.73,6.42
"Viet Nam","VNM",false,"2020-02","Solar",false,0.79,4.36,8.05,0.79,,4.36,8.05,1.53,4.21,15.6
"Viet Nam","VNM",false,"2020-02","Total generation",true,18.12,100,184.75,-0.77,-4.08,0,-7.85,36.32,100,370.31
"Viet Nam","VNM",false,"2020-02","Wind",false,0.11,0.61,1.12,0.11,,0.61,1.12,0.32,0.88,3.26
"Viet Nam","VNM",false,"2020-03","Coal",false,12.64,63.97,128.88,4.21,49.94,11.64,42.92,33.92,60.49,345.84
"Viet Nam","VNM",false,"2020-03","Gas",false,2.87,14.52,29.26,-0.62,-17.77,-7.14,-6.32,9.45,16.85,96.35
