entity,entity code,date,series,generation_TWh,precipitation,solar,humidity,temperature
Argentina,ARG,01/07/2019,Other Fossil,0.19,6192.29,8.054031063,5.625474169,8.406711603
Argentina,ARG,01/07/2019,Solar,0.05,6192.29,8.054031063,5.625474169,8.406711603
Argentina,ARG,01/07/2019,Wind,0.42,6192.29,8.054031063,5.625474169,8.406711603
Argentina,ARG,01/07/2019,Total Generation,12.32,6192.29,8.054031063,5.625474169,8.406711603
Argentina,ARG,01/08/2019,Bioenergy,0.06,4742.77,11.37773238,5.414295416,9.07692104
Argentina,ARG,01/08/2019,Coal,0,4742.77,11.37773238,5.414295416,9.07692104
Argentina,ARG,01/08/2019,Gas,6.69,4742.77,11.37773238,5.414295416,9.07692104
Argentina,ARG,01/08/2019,Hydro,3.33,4742.77,11.37773238,5.414295416,9.07692104
Argentina,ARG,01/08/2019,Nuclear,0.87,4742.77,11.37773238,5.414295416,9.07692104
Argentina,ARG,01/08/2019,Other Fossil,0.13,4742.77,11.37773238,5.414295416,9.07692104
Argentina,ARG,01/08/2019,Solar,0.07,4742.77,11.37773238,5.414295416,9.07692104
Argentina,ARG,01/08/2019,Wind,0.45,4742.77,11.37773238,5.414295416,9.07692104
Argentina,ARG,01/08/2019,Total Generation,11.6,4742.77,11.37773238,5.414295416,9.07692104
Argentina,ARG,01/09/2019,Bioenergy,0.06,4725.17,15.43801728,5.69685213,10.68662438
Argentina,ARG,01/09/2019,Coal,0.17,4725.17,15.43801728,5.69685213,10.68662438
Argentina,ARG,01/09/2019,Gas,5.74,4725.17,15.43801728,5.69685213,10.68662438
Argentina,ARG,01/09/2019,Hydro,3.03,4725.17,15.43801728,5.69685213,10.68662438
Argentina,ARG,01/09/2019,Nuclear,0.87,4725.17,15.43801728,5.69685213,10.68662438
Argentina,ARG,01/09/2019,Other Fossil,0.13,4725.17,15.43801728,5.69685213,10.68662438
Argentina,ARG,01/09/2019,Solar,0.09,4725.17,15.43801728,5.69685213,10.68662438
Argentina,ARG,01/09/2019,Wind,0.53,4725.17,15.43801728,5.69685213,10.68662438
Argentina,ARG,01/09/2019,Total Generation,10.62,4725.17,15.43801728,5.69685213,10.68662438
Argentina,ARG,01/10/2019,Bioenergy,0.06,7761.66,19.35925687,6.681622605,12.95956187
Argentina,ARG,01/10/2019,Coal,0.04,7761.66,19.35925687,6.681622605,12.95956187
Argentina,ARG,01/10/2019,Gas,6.11,7761.66,19.35925687,6.681622605,12.95956187
Argentina,ARG,01/10/2019,Hydro,2.87,7761.66,19.35925687,6.681622605,12.95956187
Argentina,ARG,01/10/2019,Nuclear,0.71,7761.66,19.35925687,6.681622605,12.95956187
Argentina,ARG,01/10/2019,Other Fossil,0.19,7761.66,19.35925687,6.681622605,12.95956187
Argentina,ARG,01/10/2019,Solar,0.1,7761.66,19.35925687,6.681622605,12.95956187
Argentina,ARG,01/10/2019,Wind,0.52,7761.66,19.35925687,6.681622605,12.95956187
Argentina,ARG,01/10/2019,Total Generation,10.6,7761.66,19.35925687,6.681622605,12.95956187
Argentina,ARG,01/11/2019,Bioenergy,0.05,9047.84,23.51054568,7.962548872,15.77866915
Argentina,ARG,01/11/2019,Coal,0.02,9047.84,23.51054568,7.962548872,15.77866915
Argentina,ARG,01/11/2019,Gas,5.99,9047.84,23.51054568,7.962548872,15.77866915
Argentina,ARG,01/11/2019,Hydro,3,9047.84,23.51054568,7.962548872,15.77866915
Argentina,ARG,01/11/2019,Nuclear,0.76,9047.84,23.51054568,7.962548872,15.77866915
Argentina,ARG,01/11/2019,Other Fossil,0.15,9047.84,23.51054568,7.962548872,15.77866915
Argentina,ARG,01/11/2019,Solar,0.11,9047.84,23.51054568,7.962548872,15.77866915
Argentina,ARG,01/11/2019,Wind,0.57,9047.84,23.51054568,7.962548872,15.77866915
Argentina,ARG,01/11/2019,Total Generation,10.65,9047.84,23.51054568,7.962548872,15.77866915
Argentina,ARG,01/12/2019,Bioenergy,0.05,9522.69,25.54799283,8.329653165,16.81396245
Argentina,ARG,01/12/2019,Coal,0.21,9522.69,25.54799283,8.329653165,16.81396245
Argentina,ARG,01/12/2019,Gas,6.59,9522.69,25.54799283,8.329653165,16.81396245
Argentina,ARG,01/12/2019,Hydro,3.05,9522.69,25.54799283,8.329653165,16.81396245
Argentina,ARG,01/12/2019,Nuclear,0.73,9522.69,25.54799283,8.329653165,16.81396245
Argentina,ARG,01/12/2019,Other Fossil,0.16,9522.69,25.54799283,8.329653165,16.81396245
Argentina,ARG,01/12/2019,Solar,0.12,9522.69,25.54799283,8.329653165,16.81396245
Argentina,ARG,01/12/2019,Wind,0.6,9522.69,25.54799283,8.329653165,16.81396245
Argentina,ARG,01/12/2019,Total Generation,11.51,9522.69,25.54799283,8.329653165,16.81396245
Argentina,ARG,01/01/2020,Bioenergy,0.04,9742.07,24.69088889,9.308006306,18.27879634
Argentina,ARG,01/01/2020,Coal,0.06,9742.07,24.69088889,9.308006306,18.27879634
Argentina,ARG,01/01/2020,Gas,7.41,9742.07,24.69088889,9.308006306,18.27879634
Argentina,ARG,01/01/2020,Hydro,3.15,9742.07,24.69088889,9.308006306,18.27879634
Argentina,ARG,01/01/2020,Nuclear,0.79,9742.07,24.69088889,9.308006306,18.27879634
Argentina,ARG,01/01/2020,Other Fossil,0.19,9742.07,24.69088889,9.308006306,18.27879634
Argentina,ARG,01/01/2020,Solar,0.11,9742.07,24.69088889,9.308006306,18.27879634
Argentina,ARG,01/01/2020,Wind,0.68,9742.07,24.69088889,9.308006306,18.27879634
Argentina,ARG,01/01/2020,Total Generation,12.43,9742.07,24.69088889,9.308006306,18.27879634
Argentina,ARG,01/02/2020,Bioenergy,0.03,10857.78,22.04125415,9.278594763,17.82212043
Argentina,ARG,01/02/2020,Coal,0.11,10857.78,22.04125415,9.278594763,17.82212043
Argentina,ARG,01/02/2020,Gas,6.69,10857.78,22.04125415,9.278594763,17.82212043
Argentina,ARG,01/02/2020,Hydro,2.65,10857.78,22.04125415,9.278594763,17.82212043
Argentina,ARG,01/02/2020,Nuclear,0.8,10857.78,22.04125415,9.278594763,17.82212043
Argentina,ARG,01/02/2020,Other Fossil,0.18,10857.78,22.04125415,9.278594763,17.82212043
Argentina,ARG,01/02/2020,Solar,0.08,10857.78,22.04125415,9.278594763,17.82212043
Argentina,ARG,01/02/2020,Wind,0.65,10857.78,22.04125415,9.278594763,17.82212043
Argentina,ARG,01/02/2020,Total Generation,11.19,10857.78,22.04125415,9.278594763,17.82212043
Argentina,ARG,01/03/2020,Bioenergy,0.04,7118.2,17.76831302,9.107179238,17.85157198
Argentina,ARG,01/03/2020,Coal,0.18,7118.2,17.76831302,9.107179238,17.85157198
Argentina,ARG,01/03/2020,Gas,7.29,7118.2,17.76831302,9.107179238,17.85157198
Argentina,ARG,01/03/2020,Hydro,2.31,7118.2,17.76831302,9.107179238,17.85157198
Argentina,ARG,01/03/2020,Nuclear,0.93,7118.2,17.76831302,9.107179238,17.85157198
Argentina,ARG,01/03/2020,Other Fossil,0.19,7118.2,17.76831302,9.107179238,17.85157198
Argentina,ARG,01/03/2020,Solar,0.1,7118.2,17.76831302,9.107179238,17.85157198
Argentina,ARG,01/03/2020,Wind,0.66,7118.2,17.76831302,9.107179238,17.85157198
Argentina,ARG,01/03/2020,Total Generation,11.7,7118.2,17.76831302,9.107179238,17.85157198
Argentina,ARG,01/04/2020,Bioenergy,0.04,7664.69,13.32871358,7.490744361,14.3359801
Argentina,ARG,01/04/2020,Coal,0,7664.69,13.32871358,7.490744361,14.3359801
Argentina,ARG,01/04/2020,Gas,5.46,7664.69,13.32871358,7.490744361,14.3359801
Argentina,ARG,01/04/2020,Hydro,1.77,7664.69,13.32871358,7.490744361,14.3359801
Argentina,ARG,01/04/2020,Nuclear,0.98,7664.69,13.32871358,7.490744361,14.3359801
Argentina,ARG,01/04/2020,Other Fossil,0.05,7664.69,13.32871358,7.490744361,14.3359801
Argentina,ARG,01/04/2020,Solar,0.08,7664.69,13.32871358,7.490744361,14.3359801
Argentina,ARG,01/04/2020,Wind,0.61,7664.69,13.32871358,7.490744361,14.3359801
Argentina,ARG,01/04/2020,Total Generation,8.99,7664.69,13.32871358,7.490744361,14.3359801
Argentina,ARG,01/05/2020,Bioenergy,0.05,8553.68,9.39586141,6.491525588,11.49353394
Argentina,ARG,01/05/2020,Coal,0.02,8553.68,9.39586141,6.491525588,11.49353394
Argentina,ARG,01/05/2020,Gas,5.97,8553.68,9.39586141,6.491525588,11.49353394
Argentina,ARG,01/05/2020,Hydro,2.17,8553.68,9.39586141,6.491525588,11.49353394
Argentina,ARG,01/05/2020,Nuclear,1.01,8553.68,9.39586141,6.491525588,11.49353394
Argentina,ARG,01/05/2020,Other Fossil,0.05,8553.68,9.39586141,6.491525588,11.49353394
Argentina,ARG,01/05/2020,Solar,0.07,8553.68,9.39586141,6.491525588,11.49353394
Argentina,ARG,01/05/2020,Wind,0.73,8553.68,9.39586141,6.491525588,11.49353394
Argentina,ARG,01/05/2020,Total Generation,10.07,8553.68,9.39586141,6.491525588,11.49353394
Argentina,ARG,01/06/2020,Bioenergy,0.07,10406.45,7.231893827,6.140874687,9.294233831
Argentina,ARG,01/06/2020,Coal,0.09,10406.45,7.231893827,6.140874687,9.294233831
Argentina,ARG,01/06/2020,Gas,6.34,10406.45,7.231893827,6.140874687,9.294233831
Argentina,ARG,01/06/2020,Hydro,2.75,10406.45,7.231893827,6.140874687,9.294233831
Argentina,ARG,01/06/2020,Nuclear,0.93,10406.45,7.231893827,6.140874687,9.294233831
Argentina,ARG,01/06/2020,Other Fossil,0.15,10406.45,7.231893827,6.140874687,9.294233831
Argentina,ARG,01/06/2020,Solar,0.06,10406.45,7.231893827,6.140874687,9.294233831
Argentina,ARG,01/06/2020,Wind,0.73,10406.45,7.231893827,6.140874687,9.294233831
Argentina,ARG,01/06/2020,Total Generation,11.12,10406.45,7.231893827,6.140874687,9.294233831
Argentina,ARG,01/07/2020,Bioenergy,0.07,6566.55,8.229340502,5.180700946,7.526701974
Argentina,ARG,01/07/2020,Coal,0.42,6566.55,8.229340502,5.180700946,7.526701974
Argentina,ARG,01/07/2020,Gas,6.22,6566.55,8.229340502,5.180700946,7.526701974
Argentina,ARG,01/07/2020,Hydro,3.61,6566.55,8.229340502,5.180700946,7.526701974
Argentina,ARG,01/07/2020,Nuclear,0.74,6566.55,8.229340502,5.180700946,7.526701974
Argentina,ARG,01/07/2020,Other Fossil,0.33,6566.55,8.229340502,5.180700946,7.526701974
Argentina,ARG,01/07/2020,Solar,0.07,6566.55,8.229340502,5.180700946,7.526701974
Argentina,ARG,01/07/2020,Wind,0.76,6566.55,8.229340502,5.180700946,7.526701974
Argentina,ARG,01/07/2020,Total Generation,12.22,6566.55,8.229340502,5.180700946,7.526701974
Argentina,ARG,01/08/2020,Bioenergy,0.08,6643.87,11.33926165,5.476267281,9.288117477
Argentina,ARG,01/08/2020,Coal,0.3,6643.87,11.33926165,5.476267281,9.288117477
Argentina,ARG,01/08/2020,Gas,5.9,6643.87,11.33926165,5.476267281,9.288117477
Argentina,ARG,01/08/2020,Hydro,2.64,6643.87,11.33926165,5.476267281,9.288117477
Argentina,ARG,01/08/2020,Nuclear,0.89,6643.87,11.33926165,5.476267281,9.288117477
Argentina,ARG,01/08/2020,Other Fossil,0.15,6643.87,11.33926165,5.476267281,9.288117477
Argentina,ARG,01/08/2020,Solar,0.09,6643.87,11.33926165,5.476267281,9.288117477
Argentina,ARG,01/08/2020,Wind,0.93,6643.87,11.33926165,5.476267281,9.288117477
Argentina,ARG,01/08/2020,Total Generation,10.98,6643.87,11.33926165,5.476267281,9.288117477
