Date;Country;Region;Export;Import
07/2024;Ai-len;EU;170,506.94;372,942.82
08/2024;Ai-len;EU;92,293.96;340,711.52
09/2024;Ai-len;EU;86,715.63;286,111.87
10/2024;Ai-len;EU;86,842.38;390,758.50
11/2024;Ai-len;EU;80,086.69;246,699.14
12/2024;Ai-len;EU;86,488.60;249,019.80
01/2025;Ai-len;EU;49,944.45;196,550.69
02/2025;Ai-len;EU;62,742.50;355,498.87
03/2025;Ai-len;EU;66,963.72;259,094.73
04/2025;Ai-len;EU;90,791.40;190,829.27
05/2025;Ai-len;EU;88,940.40;377,616.23
06/2025;Ai-len;EU;63,882.16;310,902.46
07/2025;Ai-len;EU;52,371.47;327,816.79
08/2025;Ai-len;EU;62,577.59;286,951.67
09/2025;Ai-len;EU;64,922.05;269,806.89
10/2025;Ai-len;EU;38,711.76;194,156.22
11/2025;Ai-len;EU;67,722.18;254,458.85
01/2019;Ba Lan;EU;129,581.39;29,094.07
02/2019;Ba Lan;EU;96,606.53;13,393.81
03/2019;Ba Lan;EU;142,825.56;20,544.04
04/2019;Ba Lan;EU;125,261.59;21,163.72
05/2019;Ba Lan;EU;112,736.43;28,320.14
06/2019;Ba Lan;EU;96,641.06;21,747.29
07/2019;Ba Lan;EU;105,762.48;28,011.52
08/2019;Ba Lan;EU;155,153.21;21,119.28
09/2019;Ba Lan;EU;137,807.79;24,005.42
10/2019;Ba Lan;EU;161,549.42;27,383.19
11/2019;Ba Lan;EU;123,233.74;29,096.89
12/2019;Ba Lan;EU;113,669.55;35,048.91
01/2020;Ba Lan;EU;119,091.53;16,005.21
02/2020;Ba Lan;EU;126,891.27;40,687.10
03/2020;Ba Lan;EU;138,787.99;19,618.32
04/2020;Ba Lan;EU;69,189.12;19,143.16
05/2020;Ba Lan;EU;120,615.53;24,378.36
06/2020;Ba Lan;EU;162,168.45;30,323.06
07/2020;Ba Lan;EU;191,786.34;41,768.55
08/2020;Ba Lan;EU;184,469.74;32,692.59
09/2020;Ba Lan;EU;177,619.66;33,660.38
