entity,date,series,generation_TWh,IPI_Value,CPI_Value,GDP_trillion,Oil_Price,FDI_disbursed,FDI_registered,gas_price,castlecoal_price,castlecoal_vol,humidity,precipitation,solar,temperature,total_generation_TWh,month,year,time_idx,gen_lag_1,gen_lag_2,gen_lag_3,gen_lag_12,roll_mean_6,roll_std_6,yoy_change,precip_roll6,coal_ratio
Viet Nam,2022-04-01,Coal,10.72,169.5,100.18,9513.3,105.78,1.5,1.89,131.92,326.6,650.0,80.44086021505376,79.33333333333333,514.0033333333334,25.17419354838709,22.43,4,2022,39,11.1,7.58,9.69,11.73,8.9,1.4078778356093258,-0.08610399947962492,174.56666666666663,0.4788610664857175
Viet Nam,2022-05-01,Coal,9.03,174.91,100.38,9513.3,112.37,1.79,0.91,171.04,427.0,740.0,81.91111111111111,189.9333333333333,558.4366666666666,25.453333333333333,22.89,5,2022,40,10.72,11.1,7.58,12.65,9.335,1.5141697394942217,-0.28616598528332143,127.8,0.4779313206450593
Viet Nam,2022-06-01,Coal,7.67,172.91,100.69,9513.3,120.08,1.53,2.32,161.77,385.95,240.0,84.51612903225806,269.5,539.9433333333333,26.590322580645164,23.97,6,2022,41,9.03,10.72,11.1,12.54,9.583333333333334,1.2621040633270562,-0.38835722580883364,139.02777777777777,0.39449539560963753
Viet Nam,2022-07-01,Coal,8.15,173.64,100.4,9513.3,108.92,2.33,1.38,145.69,407.9,70.0,79.37777777777778,195.46666666666667,637.8166666666666,28.954444444444444,24.18,7,2022,42,7.67,9.03,10.72,10.19,9.298333333333334,1.489743825852843,-0.2001962512074336,147.85555555555555,0.3199832991246016
Viet Nam,2022-08-01,Coal,7.73,175.22,100.0,9513.3,98.6,1.23,1.37,202.53,425.0,100.0,83.45161290322581,252.36666666666665,616.4466666666667,28.141935483870967,23.56,8,2022,43,8.15,7.67,9.03,8.37,9.041666666666666,1.5405637496276052,-0.0764635511990977,175.71666666666667,0.33705540376114956
Viet Nam,2022-09-01,Coal,8.16,172.11,100.4,9513.3,90.16,2.6,1.92,165.49,433.7,140.0,84.50537634408602,308.8,591.9,27.746236559139785,22.3,9,2022,44,7.73,8.15,7.67,7.44,9.066666666666668,1.5130719304338003,0.09677418054110473,215.9,0.32809845806033705
Viet Nam,2022-10-01,Coal,6.73,176.22,100.15,9513.3,93.13,2.05,3.76,113.21,356.3,410.0,84.92222222222222,380.26666666666665,518.7433333333333,26.97111111111111,20.86,10,2022,45,8.16,7.73,8.15,8.11,8.576666666666666,1.1570594914120313,-0.17016027494941113,266.0555555555556,0.36591926610227504
Viet Nam,2022-11-01,Coal,9.66,171.14,100.39,9513.3,91.07,2.23,2.64,114.47,398.5,540.0,80.93548387096774,315.8666666666667,489.6766666666667,25.392473118279568,26.5,11,2022,46,6.73,8.16,7.73,7.54,7.911666666666666,0.7558946134658389,0.28116707146325315,287.0444444444444,0.32262702192583786
Viet Nam,2022-12-01,Coal,8.2,169.42,99.99,9513.3,80.9,2.72,2.62,116.12,404.15,250.0,84.3,135.70000000000002,451.5933333333333,25.29777777777777,23.67,12,2022,47,9.66,6.73,8.16,9.38,8.016666666666667,0.9588256706339637,-0.12579956014930077,264.74444444444447,0.36452828813100796
Viet Nam,2023-01-01,Coal,7.58,128.34,100.52,10221.8,83.09,1.35,1.69,65.46,251.75,900.0,73.08602150537634,130.73333333333335,395.84,21.504301075268817,18.01,1,2023,48,8.2,9.66,6.73,9.69,8.105,0.944812150641599,-0.21775023552629144,253.95555555555555,0.3464300656345557
Viet Nam,2023-02-01,Coal,8.89,132.86,100.45,10221.8,82.71,1.2,1.403,45.23,192.85,370.0,75.4731182795699,98.23333333333332,392.34,21.186021505376345,19.76,2,2023,49,7.58,8.2,9.66,7.58,8.01,0.9677603009010047,0.17282319619746758,228.26666666666668,0.42087726702513784
Viet Nam,2023-03-01,Coal,11.56,145.35,99.77,10221.8,78.53,1.75,2.357,53.03,177.25,180.0,76.94047619047619,60.2,433.9166666666667,23.43809523809524,22.84,3,2023,50,8.89,7.58,8.2,11.1,8.203333333333333,1.0153357408594808,0.041441437707978666,186.83333333333337,0.4498987626569452
Viet Nam,2023-04-01,Coal,11.89,144.0,99.66,10221.8,84.11,1.55,3.35,41.1,189.7,100.0,75.61290322580646,24.46666666666667,565.6266666666667,24.75483870967741,22.98,4,2023,51,11.56,8.89,7.58,10.72,8.770000000000001,1.7025392800167651,0.10914178086363983,127.53333333333335,0.5061295750381096
Viet Nam,2023-05-01,Coal,14.24,146.35,100.01,10221.8,75.7,1.8,2.06,47.23,135.0,270.0,79.41111111111111,58.73333333333334,570.72,27.48888888888889,24.47,5,2023,52,11.89,11.56,8.89,9.03,9.63,1.7679592755490743,0.5769656060946174,84.67777777777779,0.5174064178674318
Viet Nam,2023-06-01,Coal,12.6,147.07,100.27,10221.8,74.89,2.37,2.398,45.72,128.05,190.0,79.49462365591397,146.16666666666666,646.5666666666667,28.625806451612902,24.12,6,2023,53,14.24,11.89,11.56,7.67,10.393333333333333,2.58393240365662,0.6427639318430336,86.42222222222222,0.5819370420131981
Viet Nam,2023-07-01,Coal,13.19,150.67,100.45,10221.8,80.1,1.56,2.982,51.02,137.3,320.0,81.01111111111112,221.5666666666667,592.2066666666666,28.87777777777778,25.35,7,2023,54,12.6,14.24,11.89,8.15,11.126666666666667,2.458273106606887,0.6184048320975666,101.56111111111112,0.5223880380436137
Viet Nam,2023-08-01,Coal,8.13,155.95,100.88,10221.8,86.16,1.52,1.91,59.41,156.0,370.0,79.10752688172043,221.9,640.0266666666666,29.070967741935487,25.2,8,2023,55,13.19,12.6,14.24,7.73,12.061666666666667,1.8247566047740942,0.05174643573784794,122.17222222222222,0.5203155613287747
Viet Nam,2023-09-01,Coal,9.12,152.3,101.08,10221.8,94.0,2.8,2.06,52.73,160.1,310.0,79.79569892473118,296.06666666666666,605.5433333333334,28.80860215053764,23.03,9,2023,56,8.13,13.19,12.6,8.16,11.935,2.095278024511309,0.11764704440599935,161.48333333333332,0.32261903481670495
Viet Nam,2023-10-01,Coal,10.54,162.38,100.08,10221.8,91.06,2.1,5.55,62.61,121.1,360.0,84.8888888888889,328.1666666666667,516.8333333333334,27.41,23.72,10,2023,57,9.12,8.13,13.19,6.73,11.528333333333334,2.3975939328140363,0.5661217583771531,212.10000000000002,0.3960051933996876
