entity,entity code,date,series,generation_TWh,precipitation,solar,humidity,temperature,time_idx,month_num,month,month_sin,month_cos,target_lag_1,target_lag_3,target_lag_6,target_lag_12,target_roll_mean_3,target_roll_std_3,target_roll_mean_6,target_roll_std_6,target_roll_mean_12,target_roll_std_12,sample_weight
Peru,PER,2024-07-01,Coal,0.0,2739.24,14.78650538,12.80151075,21.01727367,78,7,7,-0.4999999999999997,-0.8660254037844388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Peru,PER,2024-08-01,Coal,0.0,1960.5206,15.86555914,12.68074731,21.73194589,79,8,8,-0.8660254037844385,-0.5000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Peru,PER,2024-09-01,Coal,0.0,2025.81,15.64057222,13.21835556,22.49851613,80,9,9,-1.0,-1.8369701987210297e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Peru,PER,2024-10-01,Coal,0.0,4281.8,18.75341398,14.01344624,22.70287721,81,10,10,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Peru,PER,2024-11-01,Coal,0.0,6196.35,18.73495,14.67571667,22.26058602,82,11,11,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Peru,PER,2024-12-01,Coal,0.0,6995.23,18.45747312,15.27777419,22.36636316,83,12,12,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Peru,PER,2025-01-01,Coal,0.0,6723.28,19.30882796,15.38797849,22.48681061,84,1,1,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Peru,PER,2025-02-01,Coal,0.0,9596.33,18.27793452,16.1938869,22.87939516,85,2,2,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Peru,PER,2025-03-01,Coal,0.0,10031.77,17.8424086,16.30645699,22.7712539,86,3,3,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Peru,PER,2025-04-01,Coal,0.0,7996.05,17.15174444,15.71684444,22.2800914,87,4,4,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Peru,PER,2025-05-01,Coal,0.0,7095.07,15.10682796,14.95433333,21.58756504,88,5,5,0.49999999999999994,-0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Peru,PER,2025-06-01,Coal,0.0,8495.55,13.8692126094,14.21768889,20.74371505,89,6,6,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
